All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,Facebook,Instagram,LinkedIn,LinkedIn,Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),YouTube,YouTube,YouTube,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,Community,Community,Pinterest,Pinterest
postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,OGmetaUrl (url),imageUrls (comma-separated),gifUrl,videoUrls (comma-separated),thumbnailUrl,mediaOptimization (true/false),applyWatermark (true/false),tags (comma-separated),category,followUpComment,type (post/story/reel),type (post/story/reel),pdfTitle,postAsPdf (true/false),eventType (call_to_action/event/offer),actionType (none/order/book/shop/learn_more/call/sign_up),title,offerTitle,startDate (YYYY-MM-DD HH:mm:ss),endDate (YYYY-MM-DD HH:mm:ss),termsConditions,couponCode,redeemOnlineUrl,actionUrl,title,privacyLevel (private/public/unlisted),type (video/short),privacyLevel (everyone/friends/only_me),promoteOtherBrand (true/false),enableComment (true/false),enableDuet (true/false),enableStitch (true/false),videoDisclosure (true/false),promoteYourBrand (true/false),title,notifyAllGroupMembers (true/false),title,link
2026-06-08 08:30:00,"Modelo: Programa entrenado con muchos datos para reconocer patrones, predecir o asistir decisiones.

No necesitas saber cómo vive el modelo por dentro. Necesitas saber qué problema le estás pidiendo resolver.

#SoyIA #CriterioPrimero #DiccionarioIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #AprenderIA #ProcesoPrimero",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/termino-01.png,,,,TRUE,FALSE,"soyia,termino,diccionario",Términos,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09 11:30:00,"88% de las organizaciones ya usa IA regularmente en al menos una función del negocio.

La IA ya no es novedad. La diferencia está en cómo la conectas al negocio.

[FUENTE: McKinsey]

#SoyIA #CriterioPrimero #DatosDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #TransformacionDigital #ProductividadConCriterio",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/dato-01.png,,,,TRUE,FALSE,"soyia,dato,cifra",Datos IA,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-10 08:30:00,"La IA no vale por parecer inteligente. Vale cuando te ayuda a pensar, decidir y actuar mejor.

En la Biblioteca SoyIA: «Co-Intelligence», de Ethan Mollick. Negocios, tecnología e IA.

#SoyIA #CriterioPrimero #BibliotecaSoyIA #LecturasDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #LiderazgoYDatos",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/libro-01.png,,,,TRUE,FALSE,"soyia,biblioteca,libro",Biblioteca,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-11 11:30:00,"La clienta escribió un sábado para reservar. Le contestaron el lunes. Ya tenía cita en otro lado.

Una peluquería no pierde clientas por el corte. Las pierde por no responder cuando la clienta quería reservar. Con SoyIA, cada mensaje recibe respuesta y la agenda se llena sola.

#SoyIA #CriterioPrimero #Peluqueria #SalonDeBelleza #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-01-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-01-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-01-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,peluqueria",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-15 08:30:00,"Inteligencia artificial: Tecnología que hace tareas antes exclusivas de humanos: entender lenguaje, analizar, reconocer patrones y generar contenido.

La IA no es magia. Es capacidad aumentada cuando hay criterio detrás.

#SoyIA #CriterioPrimero #DiccionarioIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #AprenderIA #ProcesoPrimero",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/termino-02.png,,,,TRUE,FALSE,"soyia,termino,diccionario",Términos,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16 11:30:00,"Solo cerca de 1/3 de las empresas ha empezado a escalar sus programas de IA a nivel organizacional.

Muchos usan IA. Pocos la convierten en sistema.

[FUENTE: McKinsey]

#SoyIA #CriterioPrimero #DatosDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #TransformacionDigital #ProductividadConCriterio",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/dato-02.png,,,,TRUE,FALSE,"soyia,dato,cifra",Datos IA,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17 08:30:00,"La IA no se delega “a la tecnología”. Se lidera, o se sufre.

En la Biblioteca SoyIA: «The AI-Savvy Leader», de David De Cremer. Liderazgo y estrategia de IA.

#SoyIA #CriterioPrimero #BibliotecaSoyIA #LecturasDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #LiderazgoYDatos",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/libro-02.png,,,,TRUE,FALSE,"soyia,biblioteca,libro",Biblioteca,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18 11:30:00,"Tres citas no llegaron hoy. Nadie las confirmó. Nadie llenó el hueco.

La silla vacía no avisa. SoyIA confirma cada cita, le recuerda a la clienta y reacomoda los cancelados. El día no se trabaja a medias.

#SoyIA #CriterioPrimero #Peluqueria #SalonDeBelleza #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-02-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-02-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-02-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,peluqueria",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22 08:30:00,"Prompt: La instrucción que le das a una IA; puede ser una pregunta simple o una guía con tono, contexto y objetivo.

La IA responde mejor cuando tú piensas mejor lo que le pides.

#SoyIA #CriterioPrimero #DiccionarioIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #AprenderIA #ProcesoPrimero",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/termino-03.png,,,,TRUE,FALSE,"soyia,termino,diccionario",Términos,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
