All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,Facebook,Instagram,LinkedIn,LinkedIn,Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),YouTube,YouTube,YouTube,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,Community,Community,Pinterest,Pinterest
postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,OGmetaUrl (url),imageUrls (comma-separated),gifUrl,videoUrls (comma-separated),thumbnailUrl,mediaOptimization (true/false),applyWatermark (true/false),tags (comma-separated),category,followUpComment,type (post/story/reel),type (post/story/reel),pdfTitle,postAsPdf (true/false),eventType (call_to_action/event/offer),actionType (none/order/book/shop/learn_more/call/sign_up),title,offerTitle,startDate (YYYY-MM-DD HH:mm:ss),endDate (YYYY-MM-DD HH:mm:ss),termsConditions,couponCode,redeemOnlineUrl,actionUrl,title,privacyLevel (private/public/unlisted),type (video/short),privacyLevel (everyone/friends/only_me),promoteOtherBrand (true/false),enableComment (true/false),enableDuet (true/false),enableStitch (true/false),videoDisclosure (true/false),promoteYourBrand (true/false),title,notifyAllGroupMembers (true/false),title,link
2026-06-12 12:00:00,"La clienta escribió un sábado para reservar. Le contestaron el lunes. Ya tenía cita en otro lado.

Una peluquería no pierde clientas por el corte. Las pierde por no responder cuando la clienta quería reservar. Con SoyIA, cada mensaje recibe respuesta y la agenda se llena sola.

#SoyIA #CriterioPrimero #Peluqueria #SalonDeBelleza #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-01-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-01-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-01-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,peluqueria",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26 12:00:00,"Tres citas no llegaron hoy. Nadie las confirmó. Nadie llenó el hueco.

La silla vacía no avisa. SoyIA confirma cada cita, le recuerda a la clienta y reacomoda los cancelados. El día no se trabaja a medias.

#SoyIA #CriterioPrimero #Peluqueria #SalonDeBelleza #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-02-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-02-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-02-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,peluqueria",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10 12:00:00,"Un interesado preguntó por un apartamento a las 11 p.m. Le respondieron dos días después. Ya estaba viendo otros tres.

En bienes raíces, el primero que responde con claridad lleva ventaja. SoyIA contesta al instante, califica al interesado y te avisa cuándo vale tu tiempo.

#SoyIA #CriterioPrimero #RealEstate #BienesRaices #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-03-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-03-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-03-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,real-estate",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24 12:00:00,"Tienes 400 contactos en el teléfono. No sabes a cuántos seguiste este mes.

La base de datos dormida es la venta que ya pagaste y no cobraste. SoyIA retoma cada contacto en el momento correcto, sin que tengas que acordarte de nadie.

#SoyIA #CriterioPrimero #RealEstate #BienesRaices #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-04-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-04-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-04-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,real-estate",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07 12:00:00,"Pasaste el sábado mostrando una propiedad a alguien que no tenía cómo comprarla.

Tu tiempo es el inventario más caro que tienes. SoyIA califica al interesado antes de la visita: presupuesto, plazo, intención. Vas a las que cierran.

#SoyIA #CriterioPrimero #RealEstate #BienesRaices #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-05-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-05-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-05-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,real-estate",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21 12:00:00,"El paciente terminó el tratamiento y nunca volvió al control. Nadie le recordó.

En odontología, el seguimiento es salud y es facturación. SoyIA recuerda cada control, reactiva pacientes y mantiene la agenda llena sin perseguir a nadie a mano.

#SoyIA #CriterioPrimero #Odontologia #Dentista #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-06-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-06-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-06-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,odontologia",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04 12:00:00,"Cotizaste un tratamiento. El paciente dijo ""lo pienso"". Nadie volvió a escribir.

La mayoría de los tratamientos no se rechazan. Se quedan esperando un seguimiento que nunca llega. SoyIA retoma cada cotización en el momento justo, sin sonar a presión.

#SoyIA #CriterioPrimero #Odontologia #Dentista #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-07-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-07-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-07-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,odontologia",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-18 12:00:00,"Las promociones las mandas a todos por igual. Llegan a quien ya compró y a quien nunca preguntó.

Hablarle a todos por igual es la forma más cara de no hablarle a nadie. SoyIA segmenta por interés e historial y manda la oferta correcta a la persona correcta.

#SoyIA #CriterioPrimero #Estetica #MedicinaEstetica #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-08-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-08-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-08-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,estetica",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-02 12:00:00,"El cliente preguntó por reservas en Instagram un viernes. Respondiste el lunes, sin mesa y sin cliente.

El viernes a la noche no espera al lunes. SoyIA responde reservas y pedidos al instante, en el canal donde el cliente ya está escribiendo.

#SoyIA #CriterioPrimero #Restaurantes #Gastronomia #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-09-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-09-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-09-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,restaurante",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
